ppid,status,name,brand,stars,reviews,questions,answers,love,price,size,category,countries,stars1,stars2,stars3,stars4,stars5,discontinued
P109911,full,Secret Brightening Powder,Laura Mercier,4.1774,919,54,197,45411,26,0.14 oz/ 4.2 g,Makeup:Face:Setting Spray & Powder,AU,62,49,89,183,536,FALSE
P109912,full,Translucent Pressed Setting Powder,Laura Mercier,4.1923,208,15,51,6257,36,0.28 oz,Makeup:Face:Setting Spray & Powder,AU,10,11,21,53,113,FALSE
P109927,full,Eye Basics,Laura Mercier,4.4325,1186,63,214,20268,28,0.18 oz,Makeup:Eye:Eye Primer,AU,45,44,66,229,802,FALSE
P109929,full,Foundation Primer,Laura Mercier,4.1757,478,15,57,8279,38,1.75 oz,Makeup:Face:Face Primer,AU,31,35,32,101,279,FALSE
P109931,full,Secret Camouflage,Laura Mercier,4.1252,1685,149,306,35449,35,0.26 oz/ 7.3 g,Makeup:Face:Concealer,AU,115,131,125,371,945,FALSE
P109935,full,Secret Concealer,Laura Mercier,4.2693,1931,96,179,17932,27,0.08 oz/ 2.2 g,Makeup:Face:Concealer,AU,78,104,157,473,1119,FALSE
P109936,full,Tinted Moisturizer Broad Spectrum SPF 20,Laura Mercier,4.4274,4048,310,635,64244,44,1.7 oz,Makeup:Face:Tinted Moisturizer,AU:CA,140,168,253,748,2739,FALSE
P109940,full,Eye Pencil,Laura Mercier,4.1311,61,5,3,834,22,,Makeup:Eye:Eyeliner,AU,4,5,6,10,36,FALSE
P109941,full,Kohl Eye Pencil,Laura Mercier,4.3186,681,14,75,6488,25,0.04 oz/ 1.2 g,Makeup:Eye:Eyeliner,AU,28,35,50,147,421,FALSE
P109943,full,Eyebrow Pencil,Laura Mercier,4.2659,583,29,97,4788,24,0.04 oz/ 1.2 g,Makeup:Eye:Eyebrow,AU,56,17,23,107,380,FALSE
P109949,full,Camouflage Powder Brush,Laura Mercier,4.7241,29,1,0,2193,28,,Makeup:Brushes & Applicators:Face Brushes,AU,0,1,0,5,23,FALSE
P109956,full,Flat Eye Liner Brush,Laura Mercier,4.7217,97,1,2,6371,26,"6 5/16\""",Makeup:Brushes & Applicators:Eye Brushes,AU,2,1,7,2,85,FALSE
P109959,full,Secret Camouflage Brush,Laura Mercier,4.2969,64,4,11,4936,26,"6.5""",Makeup:Brushes & Applicators:Face Brushes,AU,3,4,3,15,39,FALSE
P109963,full,Secret Brightener,Laura Mercier,,,,,,,,,,0,0,0,0,0,TRUE
P110010,full,4-Pack Sponge,Laura Mercier,4.4981,257,14,69,6185,15,,Makeup:Brushes & Applicators:Sponges & Applicators,AU,10,9,13,36,189,FALSE
P110012,full,Velour Puff,Laura Mercier,4.0476,168,14,52,11354,15,,Makeup:Brushes & Applicators:Sponges & Applicators,AU,15,11,16,35,91,FALSE
P110029,full,Multi-Vitamin Serum,Laura Mercier,4.4118,17,0,0,276,72,0.6 oz,Skincare:Treatments:Face Serums,AU:CA,1,1,1,1,13,FALSE
P110113,full,for her Rollerball,Narciso Rodriguez,4.5749,581,13,73,8830,28,0.25 oz/ 7.5 mL,Fragrance:Women:Perfume,,20,13,27,74,447,FALSE
P110409,full,Snow Bunny Luminous Bronzer,Too Faced,4.479,739,24,178,13767,30,0.28 oz/ 8 g,Makeup:Cheek:Bronzer,AU,17,25,47,148,503,FALSE
P111606,full,Arced Eyeliner Brush 21,Smashbox,,,,,,,,,,0,0,0,0,0,TRUE
P111902,full,"Lights, Camera, Lashes™ 4-in-1 Mascara",Tarte,4.2318,5013,71,605,62170,21,0.24 oz/ 7 mL,Makeup:Eye:Mascara,,278,330,395,962,3051,FALSE
P112400,full,Oil Free Facial Lotion,Anthony,4.35,40,5,7,699,30,2.5 oz,Men:Skincare:Moisturizer & Treatments,CA,0,1,2,19,18,FALSE
P112814,full,Omnia Crystalline,Bvlgari,4.5375,400,16,41,9382,66,1.3 oz/ 40 mL,Fragrance:Women:Perfume,,15,12,17,55,301,FALSE
P113608,full,Berry Nurturing Gel Mask,Olehenriksen,4.4119,420,27,125,6929,36,3.2 oz/ 95 mL,Skincare:Masks:Face Masks,GB:NO,9,23,28,86,274,FALSE
P114902,full,Max Complexion Correction Pads,Peter Thomas Roth,4.4279,1117,101,332,23472,40,60 Pads,Skincare:Treatments:Blemish & Acne Treatments,AU:CA,46,44,55,213,760,FALSE
P116302,full,Perfecting Concealer,Stila,,,,,,,,,,0,0,0,0,0,TRUE
P116609,full,Mega Rich Intensive Anti-Aging Cellular Creme,Peter Thomas Roth,4.5695,151,18,37,3267,85,1.7 oz,Skincare:Moisturizers:Moisturizers,AU:CA,2,5,10,22,112,FALSE
P116610,full,Mega Rich Intensive Anti-Aging Cellular Eye Creme,Peter Thomas Roth,4.2115,208,14,22,4664,65,0.76 oz,Skincare:Eye Care:Eye Creams & Treatments,AU:CA,17,9,16,37,129,FALSE
P116805,full,Greek Yoghurt Moisturizing Face Cream,Korres,4.3109,846,29,166,7665,36,1.35 oz/ 40 mL,Skincare:Moisturizers:Moisturizers,CA,36,42,69,175,524,FALSE
P116908,full,Terracotta Khol Loose Powder Eyeliner,Guerlain,4.2218,275,31,43,5131,41,0.03 oz/ 0.85 g,Makeup:Eye:Eyeliner,JP:KR:NL:GB:AU:DE:NO,20,16,10,66,163,FALSE
P117410,full,euphoria,Calvin Klein,4.5766,529,10,38,7936,72,1.7 oz/ 50 mL,Fragrance:Women:Perfume,,24,8,21,62,414,FALSE
P119802,full,Skin Perfection Gel,Perfekt,4.0579,1743,88,358,11392,48,1.0 oz,Makeup:Face:Foundation,CA,142,152,135,348,966,FALSE
P12041,full,Hot Salt Scrub,Bliss,,,,,,,,,,0,0,0,0,0,TRUE
P12045,full,Grape Water,Caudalie,4.4509,621,27,115,29806,13,2.5 oz/ 75 mL,Skincare:Moisturizers:Mists & Essences,GB,18,15,43,138,408,FALSE
P12090,full,Hope In A Tube Eye & Lip Cream,Philosophy,4.1903,725,21,99,6880,38,0.5 oz,Skincare:Eye Care:Eye Creams & Treatments,AU:CA,44,45,61,154,421,FALSE
P122302,full,KP ’Double’ Duty  ,Dermadoctor,4.4262,183,17,64,2916,70,4 oz/ 120 mL,Bath & Body:Value & Gift Sets,,10,3,10,36,124,FALSE
P122308,full,Hydra-Pure® Intense Moisture Cream with Chelating Complex™,Dr. Dennis Gross Skincare,4.069,29,7,6,1082,125,1.7 oz/ 50 mL,Skincare:Moisturizers:Moisturizers,AU,3,2,3,3,18,FALSE
P122345,full,for her Eau de Parfum,Narciso Rodriguez,4.4296,284,12,44,6487,97,1.6 oz/ 50 mL,Fragrance:Women:Perfume,,17,10,14,36,207,FALSE
P122626,full,Cream Shave,Clinique,4.5152,33,2,0,469,17,4.2 oz/ 125 mL,Men:Shaving:Shaving,JP:KR:NL:GB:DE:NO,1,2,0,6,24,FALSE
P122628,full,Continuous Coverage,Clinique,4.1818,99,41,43,3675,25,1.2 oz,Makeup:Face:Concealer,JP:KR:NL:GB:DE:CA:NO,5,8,10,17,59,FALSE
